,head_x,head_y,images,tail_x,tail_y,height,width,head_x_rel,head_y_rel,tail_x_rel,tail_y_rel,specimen_id,phase,order,family,genus
1103,33.12,33.0,20170206_002/SPCBench-1486421913-000215-001-0-852-368-88-_rawcolor.png,161.92,45.833333333333336,88.0,368.0,0.09,0.375,0.43999999999999995,0.5208333333333334,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1104,9.4,125.79999999999998,20170206_002/SPCBench-1486422383-002568-001-0-1172-80-416-_rawcolor.png,20.799999999999997,287.2,416.0,80.0,0.11750000000000001,0.30240384615384613,0.25999999999999995,0.6903846153846154,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1105,12.32,122.27385892116183,20170206_002/SPCBench-1486421888-000094-001-0-396-88-424-_rawcolor.png,34.099999999999994,284.57261410788385,424.0,88.0,0.14,0.28838174273858924,0.38749999999999996,0.6711618257261411,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1106,28.56,129.25984251968504,20170206_002/SPCBench-1486422457-002939-001-0-212-136-432-_rawcolor.png,54.400000000000006,297.9779527559055,432.0,136.0,0.21,0.2992125984251968,0.4,0.6897637795275591,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1107,60.885,103.42268041237114,20170206_002/SPCBench-1486421924-000270-001-616-1760-99-336-_rawcolor.png,48.51,225.15463917525773,336.0,99.0,0.615,0.3078055964653903,0.49,0.6701030927835051,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1108,55.61,138.73571972581874,20170206_002/SPCBench-1486422505-003175-001-648-1164-67-440-_rawcolor.png,32.83,303.94516374714397,440.0,67.0,0.83,0.3153084539223153,0.49,0.6907844630616908,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1109,211.27999999999997,103.17241379310344,20170206_002/SPCBench-1486421954-000421-001-384-1504-304-352-_rawcolor.png,94.24,230.6206896551724,352.0,304.0,0.695,0.29310344827586204,0.31,0.6551724137931034,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1110,58.875,150.75,20170206_002/SPCBench-1486422507-003185-001-640-1244-75-456-_rawcolor.png,37.125,311.25,456.0,75.0,0.785,0.3305921052631579,0.495,0.6825657894736842,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1111,14.52,116.97777777777777,20170206_002/SPCBench-1486421889-000096-001-0-392-88-376-_rawcolor.png,29.04,251.3263157894737,376.0,88.0,0.165,0.3111111111111111,0.33,0.668421052631579,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1112,291.45,53.89473684210526,20170206_002/SPCBench-1486421879-000046-001-380-492-335-96-_rawcolor.png,142.375,28.631578947368418,96.0,335.0,0.87,0.5614035087719298,0.425,0.2982456140350877,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1113,68.625,117.71715481171549,20170206_002/SPCBench-1486421938-000342-001-640-1708-75-448-_rawcolor.png,33.75,330.28284518828457,448.0,75.0,0.915,0.26276150627615064,0.45,0.7372384937238495,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1114,143.21249999999998,114.1025641025641,20170206_002/SPCBench-1486421907-000185-001-544-864-171-400-_rawcolor.png,62.415000000000006,284.61538461538464,400.0,171.0,0.8374999999999999,0.28525641025641024,0.36500000000000005,0.7115384615384616,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1115,3.2,89.2,20170206_002/SPCBench-1486421885-000076-001-0-232-80-408-_rawcolor.png,33.6,306.0,408.0,80.0,0.04,0.21862745098039216,0.42000000000000004,0.75,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1116,12.0,80.0,20170206_002/SPCBench-1486422391-002607-000-0-1864-200-296-_rawcolor.png,92.0,214.00000000000003,296.0,200.0,0.06,0.2702702702702703,0.46,0.722972972972973,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1117,122.4,46.8,20170206_002/SPCBench-1486422120-001254-001-344-1240-240-144-_rawcolor.png,70.19999999999999,99.0,144.0,240.0,0.51,0.32499999999999996,0.2924999999999999,0.6875,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1118,66.0,109.53291253381424,20170206_002/SPCBench-1486421955-000426-001-640-1436-75-416-_rawcolor.png,32.25,312.46889089269615,416.0,75.0,0.88,0.26330027051397653,0.43,0.7511271415689811,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1119,44.415,126.91160220994476,20170206_002/SPCBench-1486422475-003025-001-652-1192-63-456-_rawcolor.png,30.555,335.70165745856355,456.0,63.0,0.705,0.27831491712707185,0.485,0.7361878453038674,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1120,1.3199999999999998,27.26970954356846,20170206_002/SPCBench-1486422442-002862-001-0-0-88-424-_rawcolor.png,30.799999999999997,236.63070539419087,424.0,88.0,0.014999999999999998,0.06431535269709543,0.35,0.558091286307054,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
1121,294.68,66.70588235294117,20170206_002/SPCBench-1486422120-001251-001-4-1116-424-144-_rawcolor.png,121.9,94.23529411764706,144.0,424.0,0.6950000000000001,0.463235294117647,0.28750000000000003,0.6544117647058824,20170206_002,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
