,head_x,head_y,images,tail_x,tail_y,height,width,head_x_rel,head_y_rel,tail_x_rel,tail_y_rel,specimen_id,phase,order,family,genus
2233,63.08,111.5912408759124,20170504_006/SPCBench-1493940079-003286-003-368-1652-152-312-_rawcolor.png,81.32000000000001,207.24087591240874,312.0,152.0,0.415,0.35766423357664234,0.535,0.6642335766423357,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2234,67.2,95.2,20170504_006/SPCBench-1493939624-001007-001-24-1952-160-184-_rawcolor.png,151.2,60.8,184.0,160.0,0.42000000000000004,0.5173913043478261,0.945,0.33043478260869563,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2235,61.004999999999995,106.5945945945946,20170504_006/SPCBench-1493940069-003236-002-552-1960-147-272-_rawcolor.png,102.16499999999999,174.96216216216214,272.0,147.0,0.415,0.3918918918918919,0.695,0.6432432432432432,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2236,69.2,79.19999999999999,20170504_006/SPCBench-1493940140-003587-005-156-1604-160-176-_rawcolor.png,75.6,70.8,176.0,160.0,0.4325,0.44999999999999996,0.4725,0.4022727272727273,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2237,142.24,99.81308411214953,20170504_006/SPCBench-1493940024-003009-000-296-1484-224-240-_rawcolor.png,73.92,144.6728971962617,240.0,224.0,0.635,0.4158878504672897,0.33,0.602803738317757,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2238,121.36,71.44186046511628,20170504_006/SPCBench-1493939747-001624-000-52-2148-296-128-_rawcolor.png,210.16,50.604651162790695,128.0,296.0,0.41,0.5581395348837209,0.71,0.3953488372093023,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2239,61.2,114.11320754716982,20170504_006/SPCBench-1493940058-003179-001-124-1988-136-288-_rawcolor.png,72.08,203.77358490566036,288.0,136.0,0.45,0.39622641509433965,0.53,0.7075471698113207,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2240,64.26,65.85977859778598,20170504_006/SPCBench-1493939715-001463-000-452-2168-136-184-_rawcolor.png,54.4,113.38745387453875,184.0,136.0,0.47250000000000003,0.35793357933579334,0.39999999999999997,0.6162361623616236,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2241,62.63999999999999,89.81642512077295,20170504_006/SPCBench-1493940096-003371-004-184-1380-216-224-_rawcolor.png,119.88000000000001,154.74396135265698,224.0,216.0,0.29,0.40096618357487923,0.555,0.6908212560386472,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2242,66.56,192.44262295081967,20170504_006/SPCBench-1493940138-003581-000-388-1720-128-312-_rawcolor.png,64.64,91.42622950819673,312.0,128.0,0.52,0.6168032786885246,0.505,0.2930327868852459,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2243,170.39999999999998,138.0,20170504_006/SPCBench-1493939289-000109-000-220-1784-240-216-_rawcolor.png,84.0,72.0,216.0,240.0,0.7099999999999999,0.6388888888888888,0.35,0.3333333333333333,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2244,87.04,71.58762886597938,20170504_006/SPCBench-1493940045-003113-001-448-2080-128-248-_rawcolor.png,47.68,163.94845360824743,248.0,128.0,0.68,0.288659793814433,0.3725,0.6610824742268042,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2245,236.72,100.45800341561869,20170504_006/SPCBench-1493939431-000042-000-108-2016-352-200-_rawcolor.png,111.75999999999999,67.91647259742277,200.0,352.0,0.6725,0.5022900170780935,0.31749999999999995,0.33958236298711386,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2246,95.12,80.80172413793105,20170504_006/SPCBench-1493940199-003884-002-72-1960-232-168-_rawcolor.png,142.68,88.99655172413793,168.0,232.0,0.41000000000000003,0.480962643678161,0.615,0.5297413793103448,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2247,85.76,89.27536231884059,20170504_006/SPCBench-1493939649-001134-001-324-2036-256-176-_rawcolor.png,157.44,104.57971014492753,176.0,256.0,0.335,0.5072463768115942,0.615,0.5942028985507246,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2248,55.080000000000005,120.31372549019608,20170504_006/SPCBench-1493940074-003257-001-208-1440-136-312-_rawcolor.png,63.919999999999995,212.7581699346405,312.0,136.0,0.405,0.38562091503267976,0.47,0.681917211328976,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2249,77.44,165.0943396226415,20170504_006/SPCBench-1493940188-003829-000-264-1696-176-280-_rawcolor.png,115.72,90.25157232704402,280.0,176.0,0.44,0.589622641509434,0.6575,0.3223270440251572,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2250,104.0,176.0,20170504_006/SPCBench-1493940168-003731-002-468-1572-200-280-_rawcolor.png,91.0,88.0,280.0,200.0,0.52,0.6285714285714286,0.455,0.3142857142857143,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2251,74.76,116.72928176795581,20170504_006/SPCBench-1493940079-003284-003-388-1536-168-304-_rawcolor.png,83.16,205.74585635359117,304.0,168.0,0.445,0.3839779005524862,0.495,0.6767955801104972,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2252,72.66,170.44897959183675,20170504_006/SPCBench-1493940052-003150-001-480-1620-168-288-_rawcolor.png,61.739999999999995,96.1399416909621,288.0,168.0,0.4325,0.5918367346938775,0.3675,0.3338192419825073,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2253,80.03999999999999,106.87788778877888,20170504_006/SPCBench-1493939655-001164-000-120-2000-232-352-_rawcolor.png,157.76000000000002,249.76897689768978,352.0,232.0,0.345,0.30363036303630364,0.68,0.7095709570957096,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2254,73.92,99.72602739726027,20170504_006/SPCBench-1493939620-000991-000-104-2172-192-280-_rawcolor.png,135.35999999999999,195.6164383561644,280.0,192.0,0.385,0.3561643835616438,0.705,0.6986301369863014,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2255,74.88,69.48148148148148,20170504_006/SPCBench-1493940091-003346-002-308-1440-208-168-_rawcolor.png,140.4,79.85185185185185,168.0,208.0,0.36,0.41358024691358025,0.675,0.47530864197530864,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2256,110.39999999999999,169.92592592592592,20170504_006/SPCBench-1493940169-003732-003-460-1604-184-248-_rawcolor.png,87.39999999999999,77.15555555555555,248.0,184.0,0.6,0.6851851851851852,0.475,0.3111111111111111,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2257,75.6,61.599999999999994,20170504_006/SPCBench-1493939604-000907-000-0-2056-160-144-_rawcolor.png,58.4,51.599999999999994,144.0,160.0,0.4725,0.42777777777777776,0.365,0.3583333333333333,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2258,68.0,100.0,20170504_006/SPCBench-1493940173-003756-001-432-1788-200-296-_rawcolor.png,119.0,185.0,296.0,200.0,0.34,0.33783783783783783,0.595,0.625,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2259,170.24,72.96,20170504_006/SPCBench-1493940155-003665-000-392-2220-304-152-_rawcolor.png,94.24,54.72,152.0,304.0,0.56,0.48,0.31,0.36,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2260,99.6,81.48987854251011,20170504_006/SPCBench-1493939373-000530-000-348-1808-240-296-_rawcolor.png,169.2,207.31983805668014,296.0,240.0,0.415,0.27530364372469635,0.705,0.7004048582995951,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2261,42.24,162.56,20170504_006/SPCBench-1493939761-001696-001-468-2112-128-208-_rawcolor.png,47.36,60.800000000000004,208.0,128.0,0.33,0.7815384615384615,0.37,0.2923076923076923,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2262,228.48000000000002,174.87898089171975,20170504_006/SPCBench-1493939607-000924-000-36-1916-336-264-_rawcolor.png,104.16,75.6687898089172,264.0,336.0,0.68,0.6624203821656051,0.31,0.28662420382165604,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
2263,100.8,91.89743589743591,20170504_006/SPCBench-1493939743-001605-001-300-1764-288-168-_rawcolor.png,187.20000000000002,87.58974358974359,168.0,288.0,0.35,0.5470085470085471,0.65,0.5213675213675214,20170504_006,test,Euphausiacea,Euphausiidae,Euphausiidae (Family)
